part_id,ldraw_color,quantity
15068,0,22
24299,71,1
24307,71,1
2431,0,29
2431,71,38
26603,0,15
26603,71,169
26603,72,45
3004,72,160
3010,0,60
3020,0,98
3020,72,132
3021,0,60
3021,72,169
3022,0,27
3022,72,64
3023,0,2
3023,72,9
3024,0,141
3024,36,20
3024,47,20
3024,72,80
3039,72,4
3068b,0,15
3068b,71,64
3068b,72,12
3069b,0,1
3069b,71,9
3069b,72,5
3070b,0,79
3070b,71,80
3070b,72,22
3623,0,16
3623,72,6
3710,0,89
3710,72,38
45982,0,4
56908,0,4
63864,0,10
63864,71,6
63864,72,6
87079,0,48
87079,71,87
87079,72,50
99781,72,52
